Modulo,Zona,Orden,Activo
M_A1_DER_,Módulos,1,Si
M_A1_IZQ_,Módulos,2,Si
M_A2_DER_,Módulos,3,Si
M_A2_IZQ_,Módulos,4,Si
M_A3_DER_,Módulos,5,Si
M_A3_IZQ_,Módulos,6,Si
M_A4_DER_,Módulos,7,Si
M_A4_IZQ_,Módulos,8,Si
M_A5_DER_,Módulos,9,Si
M_A5_IZQ_,Módulos,10,Si
M_A6_DER_,Módulos,11,Si
M_A6_IZQ_,Módulos,12,Si
M_A7_DER_,Módulos,13,Si
M_A7_IZQ_,Módulos,14,Si
M_A8_DER_,Módulos,15,Si
M_A8_IZQ_,Módulos,16,Si
M_A9_DER_,Módulos,17,Si
M_A9_IZQ_,Módulos,18,Si
M_A10_DER_,Módulos,19,Si
M_A10_IZQ_,Módulos,20,Si
M_A11_DER_,Módulos,21,Si
M_A11_IZQ_,Módulos,22,Si
M_A12_DER_,Módulos,23,Si
M_A12_IZQ_,Módulos,24,Si
M_A13_DER,Módulos,25,Si
M_A13_IZQ,Módulos,26,Si
M_A14_DER_,Módulos,27,Si
M_A14_IZQ_,Módulos,28,Si
BH_BAHIA 1_,BH,29,Si
BH_BAHIA 2_DER,BH,30,Si
BH_BAHIA 2_IZQ_,BH,31,Si
BH_BAHIA 3_DER,BH,32,Si
BH_BAHIA 3_IZQ,BH,33,Si
BH_BAHIA 4 DER_,BH,34,Si
BH_BAHIA 4 IZQ,BH,35,Si
BH_BAHIA 5_DER_,BH,36,Si
BH_BAHIA 5 IZQ_,BH,37,Si
M_B1_IZQ_,Módulos,38,Si
M_B1_DER_,Módulos,39,Si
M_B2 IZQ,Módulos,40,Si
M_B2_DER_,Módulos,41,Si
M_B3_IZQ_,Módulos,42,Si
M_B3_DER_,Módulos,43,Si
M_B4_IZQ_,Módulos,44,Si
M_B4_DER_,Módulos,45,Si
M_B5_IZQ_,Módulos,46,Si
M_B5_DER_,Módulos,47,Si
M_B6_IZQ_,Módulos,48,Si
M_B6_DER_,Módulos,49,Si
M_B7_IZQ_,Módulos,50,Si
M_B7_DER_,Módulos,51,Si
M_B8_IZQ_,Módulos,52,Si
M_B8_DER_,Módulos,53,Si
M_B9_IZQ_,Módulos,54,Si
M_B9_DER_,Módulos,55,Si
M_B10_IZQ_,Módulos,56,Si
M_B10_DER,Módulos,57,Si
M_B11_IZQ_,Módulos,58,Si
M_B11_DER_,Módulos,59,Si
M_B12_IZQ_,Módulos,60,Si
M_B12_DER_,Módulos,61,Si
M_B13_IZQ_,Módulos,62,Si
M_B13_DER_,Módulos,63,Si
M_B14_IZQ_,Módulos,64,Si
M_B14_DER_,Módulos,65,Si
M_COLUMNA B,Módulos,66,Si
M_B15_IZQ_,Módulos,67,Si
M_B15_DER_,Módulos,68,Si
M_B16_IZQ_,Módulos,69,Si
M_B16_DER_,Módulos,70,Si
M_B17_IZQ_,Módulos,71,Si
M_B17_DER_,Módulos,72,Si
M_B18_IZQ_,Módulos,73,Si
M_B18_DER_,Módulos,74,Si
M_B19_IZQ_,Módulos,75,Si
M_B19_DER_,Módulos,76,Si
M_B20_IZQ_,Módulos,77,Si
M_B20_DER_,Módulos,78,Si
M_B21_IZQ_,Módulos,79,Si
M_B21_DER_,Módulos,80,Si
M_B22_IZQ_,Módulos,81,Si
M_B22_DER_,Módulos,82,Si
M_B23_IZQ_,Módulos,83,Si
M_B23_DER_,Módulos,84,Si
M_B24_IZQ_,Módulos,85,Si
M_B24_DER_,Módulos,86,Si
M_B25_IZQ_,Módulos,87,Si
M_B25_DER_,Módulos,88,Si
M_B26_IZQ_,Módulos,89,Si
M_B26_DER_,Módulos,90,Si
M_B27_IZQ,Módulos,91,Si
M_B27_DER_,Módulos,92,Si
BH_BAHIA 6_DER_,BH,93,Si
BH_BAHIA 6_IZQ_,BH,94,Si
BH_BAHIA 7_DER_,BH,95,Si
BH_BAHIA 7_IZQ_,BH,96,Si
BH_BAHIA 8_DER_,BH,97,Si
BH_BAHIA 8_IZQ_,BH,98,Si
BH_BAHIA 8_IZQ_,BH,99,Si
BH_BAHIA 9_DER,BH,100,Si
BH_BAHIA 9 IZQ,BH,101,Si
BH_BAHIA 10_DER_,BH,102,Si
BH_BAHIA 10_IZQ_,BH,103,Si
M_C1_IZQ_,Módulos,104,Si
M_C1_DER_,Módulos,105,Si
M_C2_IZQ_,Módulos,106,Si
M_C2_DER_,Módulos,107,Si
M_C3 _IZQ,Módulos,108,Si
M_C3 _DER,Módulos,109,Si
M_C4 _IZQ,Módulos,110,Si
M_C4_DER_,Módulos,111,Si
M_C5_IZQ_,Módulos,112,Si
M_C5_DER_,Módulos,113,Si
M_C6_IZQ_,Módulos,114,Si
M_C6_DER_,Módulos,115,Si
M_C7_IZQ_,Módulos,116,Si
M_C7_DER_,Módulos,117,Si
M_C8_IZQ_,Módulos,118,Si
M_C8_DER_,Módulos,119,Si
M_C9_IZQ,Módulos,120,Si
M_C9_DER_,Módulos,121,Si
M_C10_IZQ_,Módulos,122,Si
M_C10_DER_,Módulos,123,Si
M_C11_IZQ_,Módulos,124,Si
M_C11_DER_,Módulos,125,Si
M_C12_IZQ_,Módulos,126,Si
M_C12_DER_,Módulos,127,Si
M_C13_IZQ_,Módulos,128,Si
M_C13_DER_,Módulos,129,Si
M_C14_IZQ_,Módulos,130,Si
M_C14_DER_,Módulos,131,Si
M_COLUMNA C_2,Módulos,132,Si
M_COLUMNA C_2,Módulos,133,Si
M_C15_IZQ_,Módulos,134,Si
M_C15_DER_,Módulos,135,Si
M_C16_IZQ_,Módulos,136,Si
M_C16_DER_,Módulos,137,Si
M_C17_IZQ_,Módulos,138,Si
M_C17_DER_,Módulos,139,Si
M_C18_IZQ_,Módulos,140,Si
M_C18_DER_,Módulos,141,Si
M_C19_IZQ_,Módulos,142,Si
M_C19_DER_,Módulos,143,Si
M_C20_IZQ_,Módulos,144,Si
M_C20_DER_,Módulos,145,Si
M_C21_IZQ_,Módulos,146,Si
M_C21_DER_,Módulos,147,Si
M_C22_IZQ_,Módulos,148,Si
M_C22_DER_,Módulos,149,Si
M_C23_IZQ_,Módulos,150,Si
M_C23_DER_,Módulos,151,Si
M_C24_IZQ_,Módulos,152,Si
M_C24_DER_,Módulos,153,Si
M_C25_IZQ_,Módulos,154,Si
M_C25_DER_,Módulos,155,Si
M_C26_IZQ_,Módulos,156,Si
M_C26_DER_,Módulos,157,Si
M_C27_IZQ_,Módulos,158,Si
M_C27_DER_,Módulos,159,Si
M_C28_IZQ_,Módulos,160,Si
M_C28_DER_,Módulos,161,Si
BH_BAHIA 11_DER,BH,162,Si
BH_BAHIA 12_DER_,BH,163,Si
BH_BAHIA 12_IZQ,BH,164,Si
BH_BAHIA 13_DER_,BH,165,Si
BH_BAHIA 13_IZQ_,BH,166,Si
BH_BAHIA 14_DER_,BH,167,Si
BH_BAHIA 14_IZQ_,BH,168,Si
BH_BAHIA 15_DER_,BH,169,Si
BH_BAHIA 15_IZQ_,BH,170,Si
BH_BAHIA 16_DER,BH,171,Si
BH_BAHIA 16_IZQ_,BH,172,Si
M_D1_DER,Módulos,173,Si
M_D1_DER,Módulos,174,Si
M_D2_IZQ_,Módulos,175,Si
M_D2_DER_,Módulos,176,Si
